,ticker,No_trade,Winning_ratio,profit_average,loss_average,payoff_ratio,profit_factor
81,34020,22,59.09090909,1376.384615,1620.111111,0.849561864,1.227144915
82,34220,26,30.76923077,581.25,876.4705882,0.663171141,0.312080537
83,34730,25,36,15222.22222,9500,1.602339181,0.901315789
84,35250,20,45,1427.777778,995.4545455,1.434297311,1.173515982
85,35420,17,41.17647059,25571.42857,36388.88889,0.702726281,0.546564885
86,35720,22,59.09090909,8893.769231,14800,0.600930353,0.868010511
87,36460,19,57.89473684,1613.636364,1985.714286,0.812622629,1.276978417
88,36570,22,50,31136.36364,22272.72727,1.397959184,1.397959184
89,39490,21,52.38095238,3963.636364,7288.888889,0.543791574,0.664634146
90,42660,22,31.81818182,1900,1382.142857,1.374677003,0.687338501
91,42670,22,54.54545455,606.75,804.8,0.753914016,0.904696819
92,47040,22,40.90909091,316.6666667,415,0.763052209,0.572289157
93,47050,24,41.66666667,2340,1382.142857,1.693023256,1.209302326
94,47810,24,66.66666667,2934.375,2262.5,1.296961326,2.593922652
95,51900,23,60.86956522,47642.85714,76625,0.621766488,1.088091354
96,51910,18,27.77777778,43400,51250,0.846829268,0.352845528
97,51915,26,46.15384615,13583.33333,24269.23077,0.559693608,0.516640254
98,52690,25,48,4579.166667,6573.076923,0.696654964,0.643066121
99,55550,27,66.66666667,1372.222222,1022.222222,1.342391304,2.684782609
100,66570,24,54.16666667,4400,8620,0.510440835,0.663573086
101,68270,20,50,10201.4,16510.77778,0.617863079,0.686514533
102,69620,24,50,8958.333333,8500,1.053921569,1.053921569
103,71050,21,66.66666667,4453.571429,4385.714286,1.015472313,2.030944625
104,78930,23,56.52173913,2188.461538,1705,1.283555155,1.668621701
105,81660,21,42.85714286,2750,3091.666667,0.889487871,0.667115903
106,86280,19,36.84210526,7142.857143,9666.666667,0.738916256,0.431034483
107,86790,32,59.375,1618.421053,1092.307692,1.481653076,2.165492958
108,88350,20,70,174.2857143,105,1.659863946,3.873015873
109,88980,23,47.82608696,322.7272727,410,0.78713969,0.865853659
110,90430,25,40,8350,6928.571429,1.205154639,0.860824742
111,96770,26,38.46153846,12750,14433.33333,0.883371824,0.58891455
112,97950,27,44.44444444,13666.66667,7066.666667,1.933962264,1.547169811
113,105560,18,38.88888889,1542.857143,2450,0.629737609,0.551020408
114,111770,20,75,1553.333333,1750,0.887619048,2.662857143
115,128940,27,40.74074074,9919.181818,9174.375,1.081183385,0.743313577
116,138040,24,66.66666667,3480.625,1837.5,1.894217687,3.788435374
117,138930,26,61.53846154,186.875,303.75,0.615226337,1.230452675
118,139480,23,34.7826087,4237.5,6842.857143,0.619258873,0.353862213
119,161390,24,54.16666667,1907.692308,1377.272727,1.385123128,1.636963696
ЦђБе,,,48.74792714,,,1.093921529,1.340397709
